	515rcbc9	515rcbc8	515rcbc19	515rcbc18	515rcbc37	515rcbc10	515rcbc35	515rcbc34	515rcbc33	515rcbc32	515rcbc17	515rcbc16	515rcbc11	515rcbc36	515rcbc13	515rcbc12	515rcbc15	515rcbc14	515rcbc20	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31
515rcbc9	0.0	0.637852672024	0.609343779492	0.612773612024	0.602098364905	0.598240445356	0.627512731146	0.598744098707	0.60100209453	0.637464818835	0.602796199802	0.610949640626	0.577102370331	0.672531819968	0.605204954326	0.674043472386	0.636884445982	0.619155266911	0.61044815579	0.629730921708	0.618436217255	0.56008186446	0.628442746773	0.663516918874	0.653113267027	0.613771341116	0.578531366334	0.581641499241	0.617353767338	0.623842537298
515rcbc8	0.637852672024	0.0	0.665033569081	0.71809607498	0.668535119562	0.669236104496	0.687719695918	0.715354453865	0.664610042651	0.638721990352	0.665492538822	0.640005086379	0.640283613266	0.696977355846	0.706284247972	0.704476517978	0.705655435312	0.696361078473	0.673975186666	0.708913506662	0.684573148776	0.641828511185	0.719674257242	0.66324466912	0.743134080655	0.688721384603	0.663771384155	0.673714399269	0.701213282939	0.636929548063
515rcbc19	0.609343779492	0.665033569081	0.0	0.664880677863	0.629143140023	0.611982353819	0.647597238864	0.658251294077	0.614331036997	0.611058919427	0.616028480889	0.602509301234	0.61214233433	0.623568723657	0.643557279054	0.661014404787	0.647437000982	0.636551170892	0.624799879469	0.636293923152	0.63643183968	0.610644039629	0.660840300294	0.666213823873	0.660450055096	0.638653998142	0.628449962915	0.616832345642	0.645724015351	0.628318041981
515rcbc18	0.612773612024	0.71809607498	0.664880677863	0.0	0.600922035799	0.620710433164	0.640473829836	0.580793894856	0.612120636834	0.676510204845	0.56382305138	0.659992819343	0.667033924896	0.7320686518	0.61603038783	0.714062515981	0.614721463471	0.597517713564	0.632672917877	0.589151214819	0.620311915141	0.644947325937	0.597711166327	0.694460879816	0.602618896997	0.608939220521	0.611086809849	0.606507817077	0.608461235224	0.651267392508
515rcbc37	0.602098364905	0.668535119562	0.629143140023	0.600922035799	0.0	0.643803675557	0.642751387086	0.640556307576	0.592734272647	0.654070394785	0.578052086188	0.604418743405	0.613066791528	0.676162246769	0.643994690123	0.670493598488	0.642530223683	0.629782687164	0.645344764578	0.65122154728	0.659711361688	0.603956167427	0.632038889683	0.666599704366	0.662533146218	0.612566368616	0.616550094815	0.62106779978	0.620981764412	0.629384351267
515rcbc10	0.598240445356	0.669236104496	0.611982353819	0.620710433164	0.643803675557	0.0	0.627136432375	0.616223224952	0.608842264765	0.63477963841	0.618615276357	0.617301979214	0.621118859266	0.692731485621	0.613087179798	0.687660655725	0.637514724255	0.619154045316	0.641472849994	0.648473771024	0.610719244565	0.631113814225	0.652687733191	0.644914448847	0.645336173967	0.626345586565	0.607631954385	0.624127395246	0.626935757818	0.615565353143
515rcbc35	0.627512731146	0.687719695918	0.647597238864	0.640473829836	0.642751387086	0.627136432375	0.0	0.605436529288	0.662323584974	0.663896166622	0.63482969158	0.672080529406	0.676254330779	0.712928499699	0.655469491625	0.711367093921	0.635147604631	0.664484973175	0.686112759153	0.67057107177	0.670526974726	0.652627239943	0.66440669642	0.722978643393	0.630298757045	0.646139546134	0.662575657833	0.648765542922	0.630164207017	0.67003154758
515rcbc34	0.598744098707	0.715354453865	0.658251294077	0.580793894856	0.640556307576	0.616223224952	0.605436529288	0.0	0.613491046758	0.662309916441	0.590319845587	0.667694738109	0.635313973301	0.732864749913	0.587125806709	0.710451179405	0.608485747852	0.624045516829	0.653836702928	0.618095694711	0.632629895426	0.606136331158	0.595061754041	0.694826665939	0.610155420318	0.614481705357	0.618267826699	0.602494024551	0.619685312577	0.669586035728
515rcbc33	0.60100209453	0.664610042651	0.614331036997	0.612120636834	0.592734272647	0.608842264765	0.662323584974	0.613491046758	0.0	0.625775530553	0.583786073492	0.608079432495	0.602614058218	0.650109670494	0.623497945081	0.681002177375	0.630965851839	0.614444064419	0.602125261102	0.626108790265	0.596004320099	0.605561566428	0.613117439197	0.646927891954	0.644799598206	0.608125662494	0.605613755668	0.603787189377	0.644405329401	0.621469835292
515rcbc32	0.637464818835	0.638721990352	0.611058919427	0.676510204845	0.654070394785	0.63477963841	0.663896166622	0.662309916441	0.625775530553	0.0	0.640595145696	0.615429706814	0.581017569323	0.67820980936	0.660655668427	0.714554453741	0.676878433993	0.666881682108	0.651749995589	0.674126992607	0.674910858616	0.638184021563	0.676227567483	0.660634396828	0.704068323222	0.666109996569	0.644618839358	0.658739404257	0.661565106138	0.619577654298
515rcbc17	0.602796199802	0.665492538822	0.616028480889	0.56382305138	0.578052086188	0.618615276357	0.63482969158	0.590319845587	0.583786073492	0.640595145696	0.0	0.59515485612	0.621592616044	0.688198147146	0.600849734323	0.671151955484	0.587245623399	0.594567257043	0.600720173263	0.602996021741	0.601324122496	0.611040520658	0.576630530639	0.656458491234	0.63143393017	0.599670678572	0.600886612502	0.580689651845	0.588456899925	0.618341568486
515rcbc16	0.610949640626	0.640005086379	0.602509301234	0.659992819343	0.604418743405	0.617301979214	0.672080529406	0.667694738109	0.608079432495	0.615429706814	0.59515485612	0.0	0.57564811987	0.657104889651	0.658012569577	0.669213865994	0.652398856861	0.637570869741	0.645952906834	0.662206796995	0.664297927879	0.607340652898	0.637241853637	0.645612144942	0.668811008552	0.636170730358	0.614051575508	0.602870181767	0.640238981914	0.605598245
515rcbc11	0.577102370331	0.640283613266	0.61214233433	0.667033924896	0.613066791528	0.621118859266	0.676254330779	0.635313973301	0.602614058218	0.581017569323	0.621592616044	0.57564811987	0.0	0.66164789264	0.614385833299	0.685483920042	0.653374530585	0.626092419793	0.62178082147	0.672972843944	0.648696939596	0.588609169958	0.652332191279	0.611833374378	0.700208618281	0.63512848225	0.603184963085	0.603994311252	0.6530448241	0.627327611323
515rcbc36	0.672531819968	0.696977355846	0.623568723657	0.7320686518	0.676162246769	0.692731485621	0.712928499699	0.732864749913	0.650109670494	0.67820980936	0.688198147146	0.657104889651	0.66164789264	0.0	0.728843423988	0.715839874923	0.724323023533	0.707444993889	0.68551955273	0.71935706185	0.717077426181	0.658382547607	0.722039415948	0.717879910274	0.74585734786	0.719590920418	0.710344636523	0.693100867787	0.710240117808	0.651631887204
515rcbc13	0.605204954326	0.706284247972	0.643557279054	0.61603038783	0.643994690123	0.613087179798	0.655469491625	0.587125806709	0.623497945081	0.660655668427	0.600849734323	0.658012569577	0.614385833299	0.728843423988	0.0	0.691662603835	0.606063818732	0.601591635997	0.61386704517	0.57460215726	0.603391443714	0.62765444514	0.603079179657	0.654705449341	0.623956197536	0.605156047628	0.608836661796	0.590519638228	0.665639169896	0.655866811106
515rcbc12	0.674043472386	0.704476517978	0.661014404787	0.714062515981	0.670493598488	0.687660655725	0.711367093921	0.710451179405	0.681002177375	0.714554453741	0.671151955484	0.669213865994	0.685483920042	0.715839874923	0.691662603835	0.0	0.708621540843	0.6839472529	0.664748941909	0.707179487179	0.703683180056	0.655536605136	0.704600030144	0.727673398612	0.733958451303	0.679662401153	0.663993505382	0.687133597958	0.707047035153	0.678123322636
515rcbc15	0.636884445982	0.705655435312	0.647437000982	0.614721463471	0.642530223683	0.637514724255	0.635147604631	0.608485747852	0.630965851839	0.676878433993	0.587245623399	0.652398856861	0.653374530585	0.724323023533	0.606063818732	0.708621540843	0.0	0.617756142484	0.646286173242	0.612571675091	0.605057297564	0.639646141858	0.613639201775	0.66886421431	0.626516444315	0.611233178864	0.612972137095	0.645635543359	0.664602755628	0.673786154799
515rcbc14	0.619155266911	0.696361078473	0.636551170892	0.597517713564	0.629782687164	0.619154045316	0.664484973175	0.624045516829	0.614444064419	0.666881682108	0.594567257043	0.637570869741	0.626092419793	0.707444993889	0.601591635997	0.6839472529	0.617756142484	0.0	0.617277679887	0.626054962314	0.578009492971	0.606087427232	0.60044356823	0.65336086815	0.643951957076	0.587904127113	0.61299035246	0.598145892606	0.620264848007	0.651653527028
515rcbc20	0.61044815579	0.673975186666	0.624799879469	0.632672917877	0.645344764578	0.641472849994	0.686112759153	0.653836702928	0.602125261102	0.651749995589	0.600720173263	0.645952906834	0.62178082147	0.68551955273	0.61386704517	0.664748941909	0.646286173242	0.617277679887	0.0	0.649691784788	0.618121948731	0.617692010115	0.622502404782	0.691921162206	0.664449892241	0.619083749078	0.627434356261	0.634986178121	0.658161625169	0.627926909115
515rcbc21	0.629730921708	0.708913506662	0.636293923152	0.589151214819	0.65122154728	0.648473771024	0.67057107177	0.618095694711	0.626108790265	0.674126992607	0.602996021741	0.662206796995	0.672972843944	0.71935706185	0.57460215726	0.707179487179	0.612571675091	0.626054962314	0.649691784788	0.0	0.619240481573	0.653516380701	0.604964549694	0.703438864887	0.612432556631	0.640508329578	0.61512892299	0.606533411134	0.656585721398	0.662650718642
515rcbc22	0.618436217255	0.684573148776	0.63643183968	0.620311915141	0.659711361688	0.610719244565	0.670526974726	0.632629895426	0.596004320099	0.674910858616	0.601324122496	0.664297927879	0.648696939596	0.717077426181	0.603391443714	0.703683180056	0.605057297564	0.578009492971	0.618121948731	0.619240481573	0.0	0.65780729542	0.621847657699	0.657697982869	0.638130332232	0.592216905482	0.60162118401	0.600193995473	0.652906628791	0.654917671999
515rcbc23	0.56008186446	0.641828511185	0.610644039629	0.644947325937	0.603956167427	0.631113814225	0.652627239943	0.606136331158	0.605561566428	0.638184021563	0.611040520658	0.607340652898	0.588609169958	0.658382547607	0.62765444514	0.655536605136	0.639646141858	0.606087427232	0.617692010115	0.653516380701	0.65780729542	0.0	0.628565915654	0.682839857792	0.683658044251	0.613997171222	0.60007865293	0.62306794992	0.636819255831	0.629118873745
515rcbc24	0.628442746773	0.719674257242	0.660840300294	0.597711166327	0.632038889683	0.652687733191	0.66440669642	0.595061754041	0.613117439197	0.676227567483	0.576630530639	0.637241853637	0.652332191279	0.722039415948	0.603079179657	0.704600030144	0.613639201775	0.60044356823	0.622502404782	0.604964549694	0.621847657699	0.628565915654	0.0	0.672152532051	0.630684319253	0.607924683453	0.606761919641	0.60930636009	0.62404483598	0.656993812679
515rcbc25	0.663516918874	0.66324466912	0.666213823873	0.694460879816	0.666599704366	0.644914448847	0.722978643393	0.694826665939	0.646927891954	0.660634396828	0.656458491234	0.645612144942	0.611833374378	0.717879910274	0.654705449341	0.727673398612	0.66886421431	0.65336086815	0.691921162206	0.703438864887	0.657697982869	0.682839857792	0.672152532051	0.0	0.711342543502	0.676500145976	0.650298095556	0.666617602457	0.704627870134	0.64115896757
515rcbc26	0.653113267027	0.743134080655	0.660450055096	0.602618896997	0.662533146218	0.645336173967	0.630298757045	0.610155420318	0.644799598206	0.704068323222	0.63143393017	0.668811008552	0.700208618281	0.74585734786	0.623956197536	0.733958451303	0.626516444315	0.643951957076	0.664449892241	0.612432556631	0.638130332232	0.683658044251	0.630684319253	0.711342543502	0.0	0.622749580503	0.634047735398	0.644503688227	0.641657794334	0.695517251685
515rcbc27	0.613771341116	0.688721384603	0.638653998142	0.608939220521	0.612566368616	0.626345586565	0.646139546134	0.614481705357	0.608125662494	0.666109996569	0.599670678572	0.636170730358	0.63512848225	0.719590920418	0.605156047628	0.679662401153	0.611233178864	0.587904127113	0.619083749078	0.640508329578	0.592216905482	0.613997171222	0.607924683453	0.676500145976	0.622749580503	0.0	0.584825232491	0.585664438854	0.64396471893	0.646005827935
515rcbc28	0.578531366334	0.663771384155	0.628449962915	0.611086809849	0.616550094815	0.607631954385	0.662575657833	0.618267826699	0.605613755668	0.644618839358	0.600886612502	0.614051575508	0.603184963085	0.710344636523	0.608836661796	0.663993505382	0.612972137095	0.61299035246	0.627434356261	0.61512892299	0.60162118401	0.60007865293	0.606761919641	0.650298095556	0.634047735398	0.584825232491	0.0	0.593840732165	0.645164006175	0.646267091483
