	515rcbc9	515rcbc8	515rcbc19	515rcbc18	515rcbc37	515rcbc10	515rcbc35	515rcbc34	515rcbc33	515rcbc32	515rcbc17	515rcbc16	515rcbc11	515rcbc36	515rcbc13	515rcbc12	515rcbc15	515rcbc14	515rcbc20	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31
515rcbc9	0.0	0.353713607383	0.277135421691	0.286590041189	0.274733938377	0.278847974681	0.317792731208	0.263859539709	0.308335875065	0.323776056935	0.29819061764	0.283267440727	0.277038258237	0.491964446309	0.283721957121	0.413307108736	0.342969399559	0.286676828859	0.299601090688	0.344135081568	0.292713746717	0.267727112851	0.287166683024	0.386108004646	0.308376540369	0.292126566649	0.251884121793	0.273858918568	0.268160732728	0.318387895822
515rcbc8	0.353713607383	0.0	0.343935006176	0.364688975724	0.327558270682	0.332304765606	0.386521775056	0.370472056488	0.335429619032	0.288975095861	0.332618568615	0.327522163811	0.318577606405	0.489396610738	0.376398047725	0.435629368141	0.382685852399	0.375198120805	0.355281700401	0.381503309011	0.352518925894	0.351245182191	0.371542510455	0.318578625115	0.411006193969	0.356435889542	0.365711564555	0.352377935123	0.380058826603	0.332800590498
515rcbc19	0.277135421691	0.343935006176	0.0	0.296369959922	0.270528674589	0.253606986594	0.33257762591	0.332604477451	0.295252863185	0.258827937395	0.304021769139	0.272174315274	0.256202513379	0.433538825814	0.287378733912	0.357885747899	0.350821142857	0.308300363572	0.254381295352	0.32398681399	0.26402270265	0.271599806949	0.307315382233	0.372761180377	0.331588927349	0.263955272373	0.293612832776	0.282674187675	0.327317109244	0.258814373003
515rcbc18	0.286590041189	0.364688975724	0.296369959922	0.0	0.285074177224	0.299525752508	0.319896402843	0.243420698941	0.266095869565	0.351882365385	0.237802862463	0.335293358431	0.327709487404	0.53274444889	0.264509781911	0.449261701414	0.279206110965	0.271669740915	0.291188700733	0.273021196867	0.265804598662	0.310654885589	0.231010250528	0.376365267559	0.258617826087	0.258059698215	0.268628311037	0.243915629989	0.272831601754	0.357366053009
515rcbc37	0.274733938377	0.327558270682	0.270528674589	0.285074177224	0.0	0.285373685123	0.347593968855	0.30152997862	0.272097872425	0.303119507576	0.246685601648	0.285598452024	0.25273718373	0.441242412887	0.291929305858	0.372152430467	0.312454743709	0.284227786421	0.241702861335	0.323705620872	0.285743927964	0.248519309764	0.284685053381	0.346994009943	0.340430524982	0.257885960776	0.300626542178	0.275901874747	0.316739575984	0.279179201925
515rcbc10	0.278847974681	0.332304765606	0.253606986594	0.299525752508	0.285373685123	0.0	0.328369043311	0.320651987235	0.284357842809	0.249085692475	0.292008260423	0.271659122536	0.255902063607	0.443573423548	0.283091191618	0.350214948203	0.338741337011	0.301230027328	0.252166772324	0.314597407943	0.279516070234	0.258746692623	0.322851362834	0.354418010033	0.335694381271	0.2582737686	0.290304866221	0.293536474359	0.304952509148	0.264132542811
515rcbc35	0.317792731208	0.386521775056	0.33257762591	0.319896402843	0.347593968855	0.328369043311	0.0	0.310443433333	0.374793043311	0.359746866667	0.353342651836	0.370178179313	0.369468204941	0.546647782215	0.339064929577	0.445961080532	0.390038906984	0.385336242841	0.342467117891	0.375447825292	0.369393987793	0.355899279966	0.347666634925	0.479810212876	0.286693949666	0.317765400529	0.342387244314	0.32462315	0.296871657283	0.393530438703
515rcbc34	0.263859539709	0.370472056488	0.332604477451	0.243420698941	0.30152997862	0.320651987235	0.310443433333	0.0	0.273561643423	0.363211366667	0.243066368698	0.328245265745	0.338014716164	0.537013907271	0.272581754229	0.460148815546	0.268403214775	0.286136489374	0.323938297802	0.312858620729	0.306154127926	0.33271777963	0.212769117839	0.395502646544	0.247819969064	0.286081633472	0.266856907414	0.253627383333	0.269497437395	0.362365788175
515rcbc33	0.308335875065	0.335429619032	0.295252863185	0.266095869565	0.272097872425	0.284357842809	0.374793043311	0.273561643423	0.0	0.306310459365	0.245197256827	0.261387380856	0.268738881447	0.478102351294	0.301870668031	0.434078122284	0.288411869532	0.253204787154	0.281761719058	0.298728412097	0.257076655518	0.295873025461	0.256276878456	0.314105551839	0.304627809365	0.258619393219	0.260306688963	0.278168977815	0.337168915798	0.310057904897
515rcbc32	0.323776056935	0.288975095861	0.258827937395	0.351882365385	0.303119507576	0.249085692475	0.359746866667	0.363211366667	0.306310459365	0.0	0.326695856678	0.258280839112	0.241477539782	0.439100908837	0.323341290623	0.373705843838	0.382346150723	0.345381277517	0.290905116444	0.344714716778	0.318383483891	0.305452103535	0.358433588526	0.31555556806	0.385756381104	0.313257668475	0.32632831165	0.347409883333	0.346355931513	0.26525122852
515rcbc17	0.29819061764	0.332618568615	0.304021769139	0.237802862463	0.246685601648	0.292008260423	0.353342651836	0.243066368698	0.245197256827	0.326695856678	0.0	0.311035841114	0.307712313487	0.495558972645	0.277465325543	0.425921857522	0.23338312187	0.281250546016	0.269612287145	0.283337312187	0.280806179111	0.307965381669	0.216691576721	0.37062500134	0.304157113696	0.249198564274	0.27212586052	0.245290610184	0.284243431518	0.323962003339
515rcbc16	0.283267440727	0.327522163811	0.272174315274	0.335293358431	0.285598452024	0.271659122536	0.370178179313	0.328245265745	0.261387380856	0.258280839112	0.311035841114	0.0	0.244739782245	0.432198254668	0.304371688437	0.387743016877	0.364000160289	0.268891338544	0.290647528209	0.356248855015	0.303953043562	0.272596514813	0.322163417085	0.319164650874	0.351923402128	0.304660133584	0.294613767696	0.305136132831	0.336914923863	0.276189903916
