	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_69_7.txt	69	7	16.73369	16.17936	14.0296	14.90367	15.57679	17.38145	14.54009	15.65707	16.42897	17.34166	17.38059	15.0034	15.92635	14.99622	16.38703	16.84914	16.11506	14.2549	15.42342	15.1695	17.08131	17.25739	17.6966	17.22944	14.49216	16.27207	14.78529	13.68504	15.27399	16.86985
alpha_rarefaction_69_8.txt	69	8	16.80249	16.28198	15.3534	16.71362	15.31373	16.31677	14.97709	16.0677	15.36666	16.17048	13.99599	14.68017	18.1863	14.60372	16.3062	15.91425	15.45051	15.84785	18.31271	13.02587	15.23064	14.71594	17.37674	18.23841	15.03908	14.47072	17.16518	17.40556	14.01543	14.65325
alpha_rarefaction_69_9.txt	69	9	15.94663	16.13978	15.41911	16.03714	14.61263	15.75245	14.80835	15.87894	15.42679	17.07857	16.7747	15.83259	15.4747	13.98397	15.24134	15.38438	15.3953	14.69016	15.97058	16.35758	16.9614	16.49092	16.21983	16.9331	13.03061	15.41724	15.35644	13.84826	12.26681	16.64415
alpha_rarefaction_128_0.txt	128	0	24.81934	26.83655	23.11994	25.98464	23.86514	24.32383	21.63856	27.49295	24.76733	25.32096	23.99306	23.02864	23.73525	20.75816	21.24627	23.46896	23.65238	23.89654	22.87879	24.39715	23.79646	26.53861	22.55761	27.27799	24.6281	23.13309	26.9844	21.62883	19.19778	24.91045
alpha_rarefaction_128_1.txt	128	1	26.94103	20.94907	22.32559	22.36514	22.56136	21.18252	23.38504	24.64726	23.90891	23.59883	26.76724	22.13474	21.72709	23.11134	21.16833	23.0459	21.64455	22.31918	25.31309	21.90108	21.975	27.73469	24.55714	24.45033	22.19131	22.17588	23.59113	20.06539	22.7971	26.19407
alpha_rarefaction_128_2.txt	128	2	24.26861	22.92058	22.1152	26.43836	21.78139	25.35864	18.15623	21.85204	22.5118	23.1857	21.26443	22.4684	23.90729	20.38976	23.13656	25.30422	22.58107	24.88741	26.23307	20.86364	24.82423	23.84699	27.11437	23.41072	22.97484	23.83286	22.63935	21.86659	18.13365	23.93019
alpha_rarefaction_128_3.txt	128	3	26.53222	26.78516	22.03235	24.35041	22.623	25.05994	25.27047	22.9278	24.75625	25.09543	27.96547	24.36687	23.73024	21.5043	22.66894	24.0814	23.14607	20.72435	23.36347	21.80078	25.22896	25.85247	22.18505	24.12273	22.02163	24.43603	24.05986	21.24114	19.07219	25.4261
alpha_rarefaction_128_4.txt	128	4	23.30109	20.90332	25.79068	22.75705	22.97106	23.75874	21.67002	23.57527	26.03736	23.40776	26.038	23.26064	25.12705	24.58409	21.98379	24.00516	25.14046	22.15778	25.24762	24.88717	20.4403	24.73666	22.03753	25.12743	23.84053	24.22003	24.23337	24.09419	22.00788	23.73415
alpha_rarefaction_128_5.txt	128	5	26.98831	21.62997	21.9972	24.71516	23.11882	24.42603	24.41029	24.29312	23.70349	23.36895	26.27526	21.78574	25.63027	20.2157	24.86568	24.22205	22.11687	21.12991	27.88312	24.08223	20.38609	25.56714	26.64656	24.41749	26.15923	24.22345	25.56735	24.05809	19.72629	24.02916
alpha_rarefaction_128_6.txt	128	6	22.84719	21.87667	22.88586	22.6731	20.6697	23.81882	22.28438	25.85758	21.57045	26.68723	22.24342	23.05529	23.53076	21.34962	21.30735	25.45163	22.33327	23.85181	23.81531	24.58102	20.49685	28.64493	23.95174	25.22224	24.62642	23.49882	23.5718	22.47051	19.02123	22.8246
