	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_69_9.txt	69	9	979.0	195.428571429	265.428571429	281.6	357.0	185.375	381.2	358.0	205.0	210.666666667	247.625	280.0	289.666666667	227.5	318.666666667	506.5	318.666666667	158.111111111	265.428571429	298.5	357.0	393.6	247.625	214.111111111	253.0	346.2	291.0	235.166666667	137.666666667	431.0
alpha_rarefaction_128_0.txt	128	0	691.0	447.25	493.6	559.0	273.125	537.111111111	608.0	629.25	364.071428571	495.909090909	313.833333333	570.111111111	249.588235294	384.583333333	325.25	393.071428571	370.153846154	701.0	481.083333333	756.428571429	614.875	744.857142857	514.5	639.3	554.5	480.083333333	370.625	406.230769231	262.230769231	570.111111111
alpha_rarefaction_128_1.txt	128	1	643.272727273	538.111111111	320.076923077	884.2	475.111111111	557.857142857	565.0	801.666666667	408.363636364	292.066666667	951.666666667	340.076923077	490.0	527.333333333	374.75	574.6	311.5	280.235294118	481.083333333	504.5	407.230769231	957.857142857	344.071428571	399.5	355.461538462	414.076923077	365.071428571	423.0	377.0	697.666666667
alpha_rarefaction_128_2.txt	128	2	543.090909091	739.0	454.833333333	357.0	477.125	474.1	199.375	469.090909091	384.153846154	383.583333333	359.333333333	564.0	487.545454545	333.4	445.230769231	453.461538462	284.6875	686.0	552.75	792.2	834.5	689.0	596.1	524.6	622.142857143	412.75	628.25	318.071428571	219.071428571	592.666666667
alpha_rarefaction_128_3.txt	128	3	415.0	333.4375	310.666666667	457.0	495.6	688.0	438.75	457.0	538.111111111	495.6	586.3	409.363636364	505.363636364	376.615384615	397.461538462	394.2	431.1	345.25	1531.75	514.5	554.5	445.230769231	364.071428571	487.545454545	311.5	532.8	374.0	504.5	218.071428571	523.545454545
alpha_rarefaction_128_4.txt	128	4	839.25	352.8	387.066666667	316.0	1017.0	383.153846154	416.909090909	638.111111111	444.230769231	442.090909091	469.153846154	660.428571429	464.5	445.230769231	528.333333333	291.588235294	959.6	357.0	495.909090909	714.142857143	485.333333333	415.75	638.75	629.25	462.5	605.0	345.25	407.363636364	407.363636364	505.363636364
alpha_rarefaction_128_5.txt	128	5	1643.25	421.0	689.0	376.615384615	437.3	448.6	579.333333333	436.714285714	371.214285714	478.272727273	392.071428571	591.5	717.142857143	257.571428571	445.230769231	430.0	392.5	345.230769231	817.142857143	371.214285714	454.0	414.076923077	478.272727273	421.0	614.666666667	494.909090909	323.4	481.083333333	490.0	571.111111111
alpha_rarefaction_128_6.txt	128	6	453.461538462	422.0	901.166666667	282.153846154	407.666666667	917.5	537.111111111	443.090909091	457.0	534.8	447.25	384.153846154	469.090909091	384.272727273	466.0	650.6	269.2	557.0	649.0	514.5	291.066666667	612.363636364	320.875	581.333333333	571.111111111	483.8	448.25	437.076923077	243.3	350.75
alpha_rarefaction_128_7.txt	128	7	580.5	321.076923077	357.0	362.769230769	358.333333333	355.461538462	544.25	647.857142857	382.583333333	495.6	572.090909091	383.153846154	459.5	361.0	494.6	303.176470588	423.0	455.0	603.111111111	384.714285714	406.583333333	401.4	391.5	360.2	428.666666667	408.363636364	451.0	507.111111111	310.5	665.125
alpha_rarefaction_128_8.txt	128	8	684.1	688.0	678.0	422.0	474.111111111	647.857142857	554.5	343.071428571	414.076923077	318.071428571	652.375	303.5	789.0	422.0	614.875	661.0	406.583333333	720.5	453.461538462	580.333333333	368.153846154	384.153846154	570.111111111	391.5	391.769230769	483.8	543.090909091	411.75	369.5	502.461538462
alpha_rarefaction_128_9.txt	128	9	485.153846154	276.555555556	399.461538462	283.5	351.75	607.0	553.5	358.0	532.272727273	363.9375	637.111111111	431.1	463.5	318.071428571	639.75	439.75	461.0	444.25	602.625	504.5	397.5	555.5	370.625	325.714285714	384.153846154	443.090909091	343.588235294	628.25	297.083333333	717.375
